Region,Nationality,Year,Number,,
East Asia,North Korea,2024,43,,
East Asia,South Korea,2024,"1,868,945",,
East Asia,Macao,2024,"55,380",,
East Asia,Mongolia,2024,"32,345",,
East Asia,Taiwan,2024,"1,089,910",,
South Asia,Bangladesh,2024,"142,268",,
South Asia,Bhutan,2024,"21,581",,
South Asia,India,2024,"2,129,149",,
South Asia,Iran,2024,"64,962",,
South Asia,Maldives,2024,"28,436",,
South Asia,Nepal,2024,"43,765",,
South Asia,Pakistan,2024,"75,114",,
South Asia,Sri  Lanka,2024,"68,653",,
Asia,Other in Asia,2024,"1,496",,
Oceania,Australia,2024,"775,010",,
Oceania,New  Zealand,2024,"96,733",,
Oceania,Other Oceania,2024,"5,907",,
Middle East,Bahrain,2024,"33,519",,
Middle East,Egypt,2024,"16,790",,
Middle East,Iraq,2024,"5,637",,
Middle East,Jordan,2024,"18,432",,
Middle East,Kuwait,2024,"90,949",,
Middle East,Lebanon,2024,"5,828",,
Middle East,Oman,2024,"110,308",,
Middle East,Qatar,2024,"43,468",,
Middle East,Saudi  Arabia,2024,"228,032",,
Middle East,U.A.E.,2024,"169,927",,
Middle East,Yemen,2024,"10,392",,
Middle East,Other Middle East,2024,"8,927",,
North Europe,Denmark,2024,"138,278",,
North Europe,Finland,2024,"87,528",,
North Europe,Iceland,2024,"4,678",,
North Europe,Ireland,2024,"80,350",,
North Europe,Norway,2024,"109,731",,
North Europe,Sweden,2024,"212,523",,
North Europe,United  Kingdom,2024,"965,862",,
West Europe,Austria,2024,"107,074",,
West Europe,Belgium,2024,"108,046",,
West Europe,France,2024,"720,806",,
West Europe,Germany,2024,"873,364",,
West Europe,Luxembourg,2024,"5,898",,
West Europe,Netherlands,2024,"261,467",,
West Europe,Switzerland,2024,"184,046",,
Central/East Europe,Belarus,2024,"20,564",,
Central/East Europe,Bulgaria,2024,"17,259",,
Central/East Europe,Czech Republic,2024,"59,615",,
Central/East Europe,Estonia,2024,"17,293",,
Central/East Europe,Hungary,2024,"36,945",,
Central/East Europe,Kazakhstan,2024,"195,089",,
Central/East Europe,Kyrgyzstan,2024,"12,007",,
Central/East Europe,Latvia,2024,"11,369",,
Central/East Europe,Lithuania,2024,"23,481",,
Central/East Europe,Poland,2024,"180,722",,
Central/East Europe,Romania,2024,"45,097",,
Central/East Europe,Russia,2024,"1,745,327",,
Central/East Europe,Slovakia,2024,"28,909",,
Central/East Europe,Ukraine,2024,"44,956",,
Central/East Europe,Uzbekistan,2024,"45,346",,
South/Medit Europe,Croatia,2024,"9,956",,
South/Medit Europe,Cyprus,2024,"3,942",,
South/Medit Europe,Greece,2024,"20,637",,
Middle East,Israel,2024,"281,803",,
South/Medit Europe,Italy,2024,"267,474",,
South/Medit Europe,Portugal,2024,"54,793",,
South/Medit Europe,Serbia,2024,"9,727",,
South/Medit Europe,Slovenia,2024,"12,126",,
South/Medit Europe,Spain,2024,"207,710",,
South/Medit Europe,Turkey,2024,"103,692",,
Europe,Other Europe,2024,"23,332",,
America,Canada,2024,"251,336",,
America,Mexico,2024,"43,813",,
America,USA,2024,"1,030,733",,
America,Argentina,2024,"23,474",,
America,Brazil,2024,"63,243",,
America,Chile,2024,"17,178",,
America,Colombia,2024,"17,015",,
America,Peru,2024,"8,344",,
America,Uruguay,2024,"3,067",,
America,Other America,2024,"18,875",,
Africa,Morocco,2024,"19,996",,
Africa,South Africa,2024,"67,928",,
Africa,Ethiopia,2024,"18,245",,
Africa,Kenya,2024,"7,075",,
Africa,Mauritius,2024,"17,774",,
Africa,Other Afirca,2024,"35,969",,
